model,horizon,DGS3,inf,unrate
RELU TVPL2,1,0.04869817194570558,0.0009048412133347172,0.03475683560946021
VAR_roll,1,0.05417704852787924,0.0008121212841476228,0.033848612093139156
AR_roll,1,0.048781637686305335,0.0007957954918621438,0.03278782922026821
VAR_expand,1,0.07439775675763251,0.0010356186504796086,0.03292875207313959
AR_expand,1,0.07439542229440924,0.0009736204835971305,0.03385861300376194
RELU TVPL2,2,0.052429138120331516,0.0009734738289901081,0.03201675023563896
VAR_roll,2,0.05839332224916727,0.0008521645044800164,0.028911026539467158
AR_roll,2,0.05716812239293516,0.0008521166389967795,0.031397324833003254
VAR_expand,2,0.08868288931091645,0.0011151836721248086,0.028944487093527906
AR_expand,2,0.08629115407137025,0.0011215822145329507,0.030718103754934247
